Course Code,Course Title,Description,Credits Attempted,Department,Offer 23-24 AY?,,,,,,,,,,,,,,,,,,
100,English 8,"English 8 provides a strong foundation for further English courses at Indian Springs. Building on and reviewing basic grammar skills, students continue honing their sentence, paragraph and essay writing craft. Students read, analyze, speak and write about various types of literature, further developing their abilities to think and write effectively. Close reading, thorough examinations of diction, characterization, and tone plus spirited group discussions help students discover larger meanings, personal connections and an author&#8217;s purpose in literary works from Ancient to Modern. Students also learn to identify major themes and recurring symbols important throughout literary /human history. Public Speaking/Oral Communication skills are also emphasized throughout the year through informal talks, formal speeches, and memorized Shakespearean monologues.",1,English,,,,,,,,,,,,,,,,,,,
200,English 9,"English 09 covers the fundamentals of writing and reading: writing claims, forming arguments, organizing paragraphs, syntax, and figurative language. Students will be expected to discuss and analyze major texts: The Teeth of the Comb by Osama Alomar, Daniel Quinn's Ishmael, Dante's Inferno, Edith Hamilton's Greek Mythology, Shakespeare's Romeo and Juliet, and Orson Scott Card's Ender's Game.  A central question that guides the curriculum is, ""How does mythology continue to shape our lives today?""",1,English,,,,,,,,,,,,,,,,,,,
400,Critical Reading & Analytical Writing,"This yearlong course emphasizes critical reading and writing skills through the study of canonical and contemporary texts from around the globe. We will read novels, short stories, drama, creative nonfiction, and poetry written during the Renaissance to the present day, with particular emphasis on works produced during the twentieth and twenty-first centuries. We will study these texts as cultural records, which illuminate and offer commentary on the contexts from which they come. Additionally, this course emphasizes writing the literary analysis essay; making defensible, well-wrought arguments about a text in lucid, edited prose. Additionally, students will write and edit personal essays in order to search out their voices as writers and values as humans. Frequent informal writing will also take place in class. Finally, students will engage in a structured review of grammar, mechanics, and usage. ",1,English,,,,,,,,,,,,,,,,,,,
600,AP English Language and Composition,"AP English Language & Composition covers the knowledge and skills of a college-level writing and rhetoric course (i.e. “freshman comp”). Students will enhance their critical thinking, reading, writing, listening, and speaking abilities. Writing will take center stage as students learn to identify, compare, critique, and produce arguments. Students will engage writing and research as process. The majority of readings will be non-fiction. Topics will often relate to ethics, politics, social issues, and/or language(s). The course likewise serves as an introduction to norms of communication and conduct in American post-secondary and professional settings. Students will thus learn and demonstrate dispositions conducive to success in those arenas.",1,English,,,,,,,,,,,,,,,,,,,
813,Advanced Poetry II,"This is a writing and performance driven poetry class for grades 10-12 as an English elective (Fall 20223). Students will explore writing, performing, and teaching poetry as a powerful communicative outlet to unlock individual potential in establishing the writer’s voice. Performance master, John Paul Taylor is also featured in a few master classes. Lastly, there is an opportunity to correspond with other young students in order to teach poetry (pedagogy) and inspire others to write. Thus, potentially contributing to hosting several public exhibitions of youth poetry!",0.5,English,,,,,,,,,,,,,,,,,,,
831,Major Authors: Salinger & O'Connor,"Unlike a broad survey, this course will consider selected authors in depth. Specifically, we will study two of the most accomplished, complex, masterful, influential US fiction authors of the 20th century: J.D. Salinger and Flannery O’Connor. We will approach texts primarily from a formalist perspective (i.e. “close reading”) informed by history, biography, and social concerns (e.g. race, gender, class, etc.).",0.5,English,,,,,,,,,,,,,,,,,,,
833,Comparative Literature: Victorian Times,"A combination of survey and in-depth study of particular authors, this course will provide an introduction to 19th century British and French literature, art, and culture. We will consider the ways in which art forms in particular do and do not transcend formal, national, linguistic, spatial, and temporal boundaries. We and the Victorians will haunt ourselves and each other. All texts will be presented in English, though we will at times examine French ones in the original. French-speaking students will have opportunities to read, write, and speak French. We will approach texts primarily from formalist (i.e. “close reading”) and intertextual perspectives informed by history, biography, and social concerns (e.g. race, gender, class, etc.).",0.5,English,,,,,,,,,,,,,,,,,,,
850,The Art of the Personal Narrative,,0.5,English,,,,,,,,,,,,,,,,,,,
853,Literary Theory and Analysis,,0.5,English,,,,,,,,,,,,,,,,,,,
873,The Graphic Novel,"By examining the ways in which each work assaults the status quo of an inhumane, often brutal society, we will develop the trajectory of the tradition of the Graphic Novel in literature and discover the means and methods of many writers from several different cultures and national literatures. We will connect these ideas to contemporary artistic expressions and developments within the media using film, graphic novels, music, poetry, and even viral campaigns. Max # of students is 30",0.5,English,,,,,,,,,,,,,,,,,,,
