Course Code,Course Title,Description,Credits Attempted,Department,Offer 23-24 AY?,,,,,,,,,,,,,,,,,,
110,Chinese I,"This course introduces Chinese language and culture.  Students learn to speak and listen to simple conversations, as well as to write and read simplified Chinese characters.  They participate in hands-on activities and employ multimedia learning tools, including the IQChinese language-learning system.  This class provides a foundation for more advanced Chinese courses.",1,Languages,,,,,,,,,,,,,,,,,,,
210,Chinese II,"The course focuses on vocabulary, idioms, speaking, reading comprehension, and writing.  Students learn to recognize approximately 200 characters, enabling them to write an essay with Chinese characters.  In addition, students continue to work through the IQChinese language-learning system.",1,Languages,,,,,,,,,,,,,,,,,,,
410,Chinese III,"The course focuses on vocabulary, idioms, speaking, reading comprehension, and writing.  Students learn to recognize approximately 200 characters, enabling them to write an essay with Chinese characters.  In addition, students continue to work through the IQChinese language-learning system.",1,Languages,,,,,,,,,,,,,,,,,,,
610,Chinese IV,,1,Languages,,,,,,,,,,,,,,,,,,,
810,AP Chinese,,,,,,,,,,,,,,,,,,,,,,
910,Chinese V,,1,Languages,,,,,,,,,,,,,,,,,,,
130,French I,"During the first two years, students acquire a basic proficiency in speaking, listening, reading, and writing.  An interactive video program rich in cultural content serves as a basis for class discussions which are conducted mostly in French.",1,Languages,,,,,,,,,,,,,,,,,,,
230,French II,"During the first two years, students acquire a basic proficiency in speaking, listening, reading, and writing.  An interactive video program rich in cultural content serves as a basis for class discussions which are conducted mostly in French.",1,Languages,,,,,,,,,,,,,,,,,,,
430,French III,"Students complete the acquisition of basic communication skills and begin to study literature, which provides them with opportunities for the analysis of content and style through a variety of written and spoken activities.  A grammar text supplements the course material as the students refine their control of the linguistic structures of French.",1,Languages,,,,,,,,,,,,,,,,,,,
630,French IV,"In the advanced levels of French, students continue their literary studies and are expected to strengthen their language skills through more in-depth class discussions, oral presentations, compositions, and the regular engagement of the French-speaking world through the use of authentic materials.  In these classes, students and teachers engage in informative conversations that range from micro-cultural studies of various Francophone localities to the often problematical and nuanced geo-political realities—past, present, and future.",1,Languages,,,,,,,,,,,,,,,,,,,
830,AP French Language & Culture,"In the advanced levels of French, students continue their literary studies and are expected to strengthen their language skills through more in-depth class discussions, oral presentations, compositions, and the regular engagement of the French-speaking world through the use of authentic materials. In these classes, students and teachers engage in informative conversations that range from micro-cultural studies of various Francophone localities to the often problematical and nuanced geo-political realities&mdash;past, present, and future. Students in Level V may elect to take the AP French Language exam. Students who have completed Level V prior to their senior year can receive instruction at Level VI.",1,Languages,,,,,,,,,,,,,,,,,,,
150,Latin I,"In this introductory course, students study basic vocabulary and grammar, Greek and Roman history, and the influence of the Latin language upon the English language.",1,Languages,,,,,,,,,,,,,,,,,,,
