"Course Code","Course Title","Course Length","Description","Credits Attempted","Department"
"1000","Photography I - F","1","Students in this class learn how to create their own photography from beginning to end. Instruction includes the secrets of capturing quality images on film, development, and custom printing. Field trips are included. Students exhibit their work prior to the end of the term. A 35mm SLR camera with manual settings is required.","0.5","Arts"
"1010","Photography II - F","1","Students are introduced to the finer points of an artistic approach to photography, using professional darkroom methods and archival printing materials. Field trips are included. All pieces to be exhibited are produced completely by hand development and production methods. Introduction to Photography and a 35mm SLR camera with manual settings are required.","0.5","Arts"
"1050","Art History - F","1","<span id=""m_1869848969402351795docs-internal-guid-2480515c-2161-a994-a77e-51a449d99d04"">Art History is one of the broadest and deepest disciplines in the humanities. In the 10</span><span>th</span><span> grade semester survey course students will examine the visual arts from the Paleolithic era to the present. The course will employ </span><span>a variety of critical, theoretical and methodological perspectives and approaches.</span><span>The main goal is to equip students with visual literacy to allow them to effectively navigate the contemporary experience.</span>","0.5","Arts"
"1270","2D Design - F","1","In this course, students explore various approaches to drawing and painting. They discover how to create space and form through mark making, value, perspective, and color. Subjects include still life, landscape, portrait, and the human figure. Learning about the principles of design strengthens students&#8217; compositions. By keeping a sketchbook/journal, students have the opportunity for further practice and exploration of individual interests.","0.5","Arts"
"1330","3D Design - S","1","This course introduces the hand-building techniques of pinch, coil, and slab. Students learn proper blending of feet, rims, handles, and decorations. They then begin working on the wheel. In addition, they learn to model representational sculptures and make a clay mold for a plaster sculptural relief. They work with both glazes and stains. Concepts covered include balance, proportions, an aesthetic flow from one area of interest to another, and contrasts in texture, value, and color.","0.5","Arts"
"1340","Advanced Sculpture Methods - S","1","This class continues exploring both functional and non-functional three-dimensional design. Students are asked to find various means of organizing and interpreting form, making creative thinking as important as technique. There is greater individual choice of materials within the format of projects involving elements and principles of design. Students investigate ideas through a sketchbook/journal.","0.5","Arts"
"1350","Advanced Drawing and Painting","1","This class builds on the skills and concepts introduced in the beginning level class. Students gain an understanding of the qualities of a wider range of media, choosing the appropriate material for the desired form of expression. Initially, the goal is to strengthen representational skills. Later projects demand greater expressiveness or inventiveness.  Students gain an artistic vocabulary and experience in analyzing works of art, by both master artists and each other.","0.5","Arts"
"1450","Woodworking - F","1","In this course, students learn the fundamentals of working with wood by building a musical instrument, either a backpacking guitar or a mountain dulcimer. They learn the properties of various woods and the proper use of power and hand tools. This course is not offered every year.","0.5","Arts"
"1510","Recording Arts - F","1","This is a semester course designed to introduce students to the principles of sound engineering and production. As with any art, there are technical skills that must be learned in order to make a creative expression. Objectives in Recording Arts are both technical and creative. Technical objectives include learning about sound and acoustics as well as developing the &ldquo;ear&rdquo; of the students; that is, increasing their ability to interpret better what they hear. Becoming familiar with equipment by hands-on experience in a multi-track recording studio is also part of the technical side. Students are exposed to analog and digital formats.
During the course the class does a production of a song. Producing involves arrangement, recording and mixing tracks of instruments and vocals. This project serves as a vehicle for producing a sound picture. The sound picture is the focus of the course. The same tracks can sound many different ways depending on the equalization (the ability to increase or decrease the volume of selected frequencies of an individual track), panning (the ability to place a track anywhere in the stereo spectrum), effects (choruses, early reflections, delays, etc.), reverberation and the relative volumes of the instruments with one another and with the vocals.
Deciding upon the blend of these parameters is mixing, the heart of Recording Arts. For example, if the music is rhythmical, certain special effects can accent or punctuate the rhythm. Another example is the selection of the type of reverberation. Some types of reverberation can give a full sound to a recording while other types can add to a haunting feel. Mixing falls into the creative side of the course since the way the song will sound is a matter of interpretation and expression of the one at the controls. This is where the sound picture is painted. The sound of the final product is integrated with the song and its arrangement, adding to the total feel of the music, which in turn strengthens the emotional connection with the listener.
Recording Arts is largely a laboratory-type course, and therefore, attendance and participation are essential. The students take increasing control of the studio and project as the semester moves along. One of the goals is to let them &ldquo;run the ship&rdquo; by the end of the course.","0.5","Arts"
"1700","Acting I - F","1","Open to all students, whether novice actor or veteran performer, this course introduces the basics of acting: concentration, relaxation, observation, and characterization. Students learn juggling and pantomime techniques and use daily improvisations and theater games to build characterization skills and create original material for performance. At the end of the semester, they perform short scenes and monologues, both scripted and original. Additionally, students attend and critique local theater performances.","0.5","Arts"
"1720","Acting II - F","1","Acting II is a course for actors ready for advanced work. These students explore the dramatic aspects of the acting craft. Improvisation is used as a process instead of a performance. Various approaches to acting are studied including Stanislavski, Meisner, Benedetti, and others. A showcase of scenes and monologues is presented at the end of the semester. To enroll, students must have completed Acting I or have the permission of the instructor.","0.5","Arts"
"1740","Stagecraft - F","1","In this course, students learn the basics of set construction and scenery and lighting design. They build, paint, light a set and serve as stage crew for one major Indian Springs theater production during the semester. In addition, students set up and run lights, sound, and media for Town Meetings and other school functions on a rotating basis.","0.5","Arts"
"z2000","Science 8","2","<p style=""margin: 0px; padding: 0px;"">This year-long course includes the introductory study of environmental science, ecology, earth and physical science. Students examine regional and global environmental issues, investigate the causes of environmental problems and formulate solutions to resolve such problems. The diverse collection of natural habitats on campus is used for ecologic and geologic field studies. Students are also engaged in physical science labs to strengthen their understanding of the nature of science and scientific thought. The goal of this class is to prepare students for the high school science curriculum.</p>","1","Science"
